timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742381624426,586,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,4986,578,10,16,null,586,0,440
1742381624931,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3445,927,11,17,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381624862,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3445,927,11,17,null,144,70,0
1742381624959,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,text,true,,3442,924,11,17,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381624913,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,,true,,3442,924,11,17,null,145,46,0
1742381624575,575,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-52,text,true,,5664,525,11,17,https://petstore.octoperf.com/actions/Catalog.action,575,0,432
1742381624575,575,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-52,,true,,5664,525,11,17,null,575,1,432
1742381625013,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4081,923,11,17,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381624931,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4081,923,11,17,null,145,82,0
1742381624647,571,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,4987,578,11,17,https://petstore.octoperf.com/actions/Catalog.action,571,0,430
1742381624646,571,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,4987,578,11,17,null,571,1,430
1742381624658,578,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,4990,578,11,17,https://petstore.octoperf.com/actions/Catalog.action,578,0,434
